2026-07-14 08:07:38 | INFO     | cluster_heartbeat.test | logger works
2026-07-14 08:08:06 | INFO     | cluster_heartbeat.synthetic_generator | Generating synthetic trace: 32 GPUs x 10080 steps (7d @ 60s), failure_rate=0.03
2026-07-14 08:08:06 | DEBUG    | cluster_heartbeat.synthetic_generator | GPU gpu-009: injected failure ramp starting at step 7757
2026-07-14 08:08:06 | INFO     | cluster_heartbeat.synthetic_generator | Generated 322560 rows across 32 GPUs
2026-07-14 08:08:20 | INFO     | cluster_heartbeat.synthetic_generator | Generating synthetic trace: 32 GPUs x 10080 steps (7d @ 60s), failure_rate=0.03
2026-07-14 08:08:20 | DEBUG    | cluster_heartbeat.synthetic_generator | GPU gpu-009: injected failure ramp starting at step 7757
2026-07-14 08:08:21 | INFO     | cluster_heartbeat.synthetic_generator | Generated 322560 rows across 32 GPUs
2026-07-14 08:08:25 | INFO     | cluster_heartbeat.synthetic_generator | Saved synthetic trace to /home/claude/cluster-heartbeat/data_store/raw/synthetic_trace.csv
2026-07-14 08:08:47 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from /home/claude/cluster-heartbeat/data_store/raw/synthetic_trace.csv
2026-07-14 08:09:10 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from /home/claude/cluster-heartbeat/data_store/raw/synthetic_trace.csv
2026-07-14 08:09:10 | INFO     | cluster_heartbeat.preprocessing | Preprocessing 322560 raw rows
2026-07-14 08:09:10 | DEBUG    | cluster_heartbeat.preprocessing | GPU gpu-000: interpolated 6 missing values
2026-07-14 08:09:11 | INFO     | cluster_heartbeat.preprocessing | Preprocessing complete: 322560 clean rows
2026-07-14 08:09:32 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from /home/claude/cluster-heartbeat/data_store/processed/clean_trace.csv
2026-07-14 08:09:32 | INFO     | cluster_heartbeat.windowing | Generated 64352 windows (size=30, stride=5) from 32 GPUs
2026-07-14 08:09:47 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from /home/claude/cluster-heartbeat/data_store/processed/clean_trace.csv
2026-07-14 08:09:47 | INFO     | cluster_heartbeat.windowing | Generated 64352 windows (size=30, stride=5) from 32 GPUs
2026-07-14 08:09:49 | INFO     | cluster_heartbeat.normalization | Fit StandardScaler on 64352 windows (1930560 timesteps, 13 features)
2026-07-14 08:09:49 | INFO     | cluster_heartbeat.normalization | Saved scaler to /home/claude/cluster-heartbeat/checkpoints/feature_scaler.pkl
2026-07-14 08:09:49 | INFO     | cluster_heartbeat.normalization | Loaded scaler from /home/claude/cluster-heartbeat/checkpoints/feature_scaler.pkl
2026-07-14 08:10:10 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from /home/claude/cluster-heartbeat/data_store/processed/clean_trace.csv
2026-07-14 08:10:10 | INFO     | cluster_heartbeat.windowing | Generated 64352 windows (size=30, stride=5) from 32 GPUs
2026-07-14 08:10:11 | INFO     | cluster_heartbeat.normalization | Fit StandardScaler on 64352 windows (1930560 timesteps, 13 features)
2026-07-14 08:10:11 | INFO     | cluster_heartbeat.pca_embedding | Fit PCA with 8 components, explained variance ratio = 0.523
2026-07-14 08:10:12 | INFO     | cluster_heartbeat.pca_embedding | Saved PCA embedder to /home/claude/cluster-heartbeat/checkpoints/pca_embedding.pkl
2026-07-14 08:10:25 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from /home/claude/cluster-heartbeat/data_store/processed/clean_trace.csv
2026-07-14 08:10:25 | INFO     | cluster_heartbeat.windowing | Generated 64352 windows (size=30, stride=5) from 32 GPUs
